(de) tempo parcial	envolvendo menos do que o tempo normal ou habitual para uma atividade
Butao	O Butão (em butanês འབྲུག་ཡུལ་, transl. Druk Yul, "Terra do Dragão") é um pequeno e fechado reino nos Himalaias, encravado entre a China, a norte, e a Índia, a leste, sul e oeste. A sua capital é Thimphu.
Butã	O Butão (em butanês འབྲུག་ཡུལ་, transl. Druk Yul, "Terra do Dragão") é um pequeno e fechado reino nos Himalaias, encravado entre a China, a norte, e a Índia, a leste, sul e oeste. A sua capital é Thimphu.
Butão	O Butão (em butanês འབྲུག་ཡུལ་, transl. Druk Yul, "Terra do Dragão") é um pequeno e fechado reino nos Himalaias, encravado entre a China, a norte, e a Índia, a leste, sul e oeste. A sua capital é Thimphu.
Báltico	um mar no norte da Europa; reduto da marinha russa
Bélgica	A Bélgica (em neerlandês België, francês Belgique e alemão Belgien), oficialmente Reino da Bélgica, é um país situado na Europa ocidental. É membro fundador da União Europeia e hospeda sua sede, bem como as de outras grandes organizações internacionais, incluindo a OTAN. A Bélgica tem uma área de 30.528 quilômetros quadrados e uma população de cerca de 10,7 milhões de habitantes.
Bíblia	os escritos sagrados das religiões cristãs
Bósnia	Bósnia e Herzegovina (ou Herzegóvina; em bósnio, e no sérvio latino: Bosna i Hercegovina; no sérvio cirílico: Босна и Херцеговина) é uma república federal dos Balcãs, resultante da dissolução da Iugoslávia, limitada a norte e oeste pela Croácia, a leste e a sul pela Sérvia, e a sul pelo Montenegro, dispondo ainda de uma minúscula extensão de litoral, no Mar Adriático. Sua capital é a cidade de Sarajevo. É composta por duas entidades politicamente autónomas, a Federação da Bósnia e Herzegovina (federação croato-bosníaca) e a República Sérvia (também conhecida como República Sprska, que não deve ser confundida com a própria Sérvia).
Bósnia e Herzegovina	Bósnia e Herzegovina (ou Herzegóvina; em bósnio, e no sérvio latino: Bosna i Hercegovina; no sérvio cirílico: Босна и Херцеговина) é uma república federal dos Balcãs, resultante da dissolução da Iugoslávia, limitada a norte e oeste pela Croácia, a leste e a sul pela Sérvia, e a sul pelo Montenegro, dispondo ainda de uma minúscula extensão de litoral, no Mar Adriático. Sua capital é a cidade de Sarajevo. É composta por duas entidades politicamente autónomas, a Federação da Bósnia e Herzegovina (federação croato-bosníaca) e a República Sérvia (também conhecida como República Sprska, que não deve ser confundida com a própria Sérvia).
Bósnia e Herzegóvina	Bósnia e Herzegovina (ou Herzegóvina; em bósnio, e no sérvio latino: Bosna i Hercegovina; no sérvio cirílico: Босна и Херцеговина) é uma república federal dos Balcãs, resultante da dissolução da Iugoslávia, limitada a norte e oeste pela Croácia, a leste e a sul pela Sérvia, e a sul pelo Montenegro, dispondo ainda de uma minúscula extensão de litoral, no Mar Adriático. Sua capital é a cidade de Sarajevo. É composta por duas entidades politicamente autónomas, a Federação da Bósnia e Herzegovina (federação croato-bosníaca) e a República Sérvia (também conhecida como República Sprska, que não deve ser confundida com a própria Sérvia).
Bósnia-Herzegovina	Bósnia e Herzegovina (ou Herzegóvina; em bósnio, e no sérvio latino: Bosna i Hercegovina; no sérvio cirílico: Босна и Херцеговина) é uma república federal dos Balcãs, resultante da dissolução da Iugoslávia, limitada a norte e oeste pela Croácia, a leste e a sul pela Sérvia, e a sul pelo Montenegro, dispondo ainda de uma minúscula extensão de litoral, no Mar Adriático. Sua capital é a cidade de Sarajevo. É composta por duas entidades politicamente autónomas, a Federação da Bósnia e Herzegovina (federação croato-bosníaca) e a República Sérvia (também conhecida como República Sprska, que não deve ser confundida com a própria Sérvia).
Bósnia-Herzegóvina	Bósnia e Herzegovina (ou Herzegóvina; em bósnio, e no sérvio latino: Bosna i Hercegovina; no sérvio cirílico: Босна и Херцеговина) é uma república federal dos Balcãs, resultante da dissolução da Iugoslávia, limitada a norte e oeste pela Croácia, a leste e a sul pela Sérvia, e a sul pelo Montenegro, dispondo ainda de uma minúscula extensão de litoral, no Mar Adriático. Sua capital é a cidade de Sarajevo. É composta por duas entidades politicamente autónomas, a Federação da Bósnia e Herzegovina (federação croato-bosníaca) e a República Sérvia (também conhecida como República Sprska, que não deve ser confundida com a própria Sérvia).
CEO	O executivo responsável pelas operações da empresa; reporta a uma diretoria; pode nomear outros gerentes (incluindo um presidente)
CIA	uma agência independente do governo dos Estados Unidos responsável pela recolha e coordenação das atividades de inteligência e contra-inteligência no exterior
Cabo Verde	Cabo Verde é um país africano, arquipélago de origem vulcânica, constituído por dez ilhas. Está localizado no Oceano Atlântico, a 640 km a oeste de Dacar, Senegal. Outros vizinhos são a Mauritânia, a Gâmbia e a Guiné-Bissau, ou seja, todos na faixa costeira ocidental da África que vai do Cabo Branco às ilhas Bijagós. Curiosamente, o cabo Verde que dá nome ao país não se situa nele, mas a centenas de quilômetros a leste, no Senegal.
Cabo verde	Cabo Verde é um país africano, arquipélago de origem vulcânica, constituído por dez ilhas. Está localizado no Oceano Atlântico, a 640 km a oeste de Dacar, Senegal. Outros vizinhos são a Mauritânia, a Gâmbia e a Guiné-Bissau, ou seja, todos na faixa costeira ocidental da África que vai do Cabo Branco às ilhas Bijagós. Curiosamente, o cabo Verde que dá nome ao país não se situa nele, mas a centenas de quilômetros a leste, no Senegal.
Cabo-Verde	Cabo Verde é um país africano, arquipélago de origem vulcânica, constituído por dez ilhas. Está localizado no Oceano Atlântico, a 640 km a oeste de Dacar, Senegal. Outros vizinhos são a Mauritânia, a Gâmbia e a Guiné-Bissau, ou seja, todos na faixa costeira ocidental da África que vai do Cabo Branco às ilhas Bijagós. Curiosamente, o cabo Verde que dá nome ao país não se situa nele, mas a centenas de quilômetros a leste, no Senegal.
California	Um estado no oeste dos Estados Unidos, na costa do Pacífico; o terceiro maior estado do país; conhecido por terremotos
Califórnia	Um estado no oeste dos Estados Unidos, na costa do Pacífico; o terceiro maior estado do país; conhecido por terremotos
Camboja	O Camboja (em khmer , transl. Preăh Réachéanachâkr Kâmpŭchea, nome oficial Reino do Camboja) é um país asiático da Indochina, limitado a norte pelo Laos, a leste e a sul pelo Vietnã, a oeste pelo Golfo da Tailândia e a oeste e a norte pela Tailândia. Sua capital é Phnom Penh.
Camelus	Mamífero ruminante usado como um animal de carga ou de sela em regiões de deserto
Canada	O Canadá é um país que ocupa a maior parte do norte da América do Norte e se estende desde o Oceano Atlântico, a leste, até o Oceano Pacífico, a oeste. Ao norte o país é limitado pelo Oceano Ártico. É o segundo maior país do mundo em área total, atrás apenas da Rússia, e a sua fronteira comum com os Estados Unidos, no sul e no noroeste, é a mais longa fronteira terrestre do mundo.
Canadá	O Canadá é um país que ocupa a maior parte do norte da América do Norte e se estende desde o Oceano Atlântico, a leste, até o Oceano Pacífico, a oeste. Ao norte o país é limitado pelo Oceano Ártico. É o segundo maior país do mundo em área total, atrás apenas da Rússia, e a sua fronteira comum com os Estados Unidos, no sul e no noroeste, é a mais longa fronteira terrestre do mundo.
Canção dos Nibelungos	um poema épico escrito em alemão meio alto e baseado nas lendas de Siegfried e dos reis teutônicos
Casa de Hanôver	a casa real inglesa que reinou 1714-1901 (de George I ate Victoria)
Casaquistão	O Cazaquistão (em cazaque Қазақстан, transl. Qazaqstan) é um país fundamentalmente asiático, embora também inclua uma região relativamente pequena que, geograficamente, pertencente à Europa: a área entre o rio Ural e a fronteira russa, que é o ponto mais oriental de todo o continente europeu. Esta característica faz do Cazaquistão uma nação transcontinental. Limita-se a norte e oeste com a Rússia, a leste com a China, a sul com o Quirguistão, o Uzbequistão e Turcomenistão e a oeste com o mar Cáspio.
Catar	O Qatar (também escrito Catar, e mais raramente Quatar ou Katar) é um país da Península Arábica, que ocupa uma península do Golfo Pérsico e algumas ilhas adjacentes. É rodeado por esta extensão marítima, excepto a sul, onde tem pequenas fronteiras terrestres com os Emiratos Árabes Unidos e com a Arábia Saudita. Tem fronteiras marítimas com o Irão, a norte, o com o Bahrein, a oeste. A sua capital é Doha.
Cavalo Louco	um chefe dos Sioux que resistiram à invasão do Black Hills, ele se juntou ao Sitting Bull na derrota do General Custer em Little Bighorn (1849-1877)
Cazaquistao	O Cazaquistão (em cazaque Қазақстан, transl. Qazaqstan) é um país fundamentalmente asiático, embora também inclua uma região relativamente pequena que, geograficamente, pertencente à Europa: a área entre o rio Ural e a fronteira russa, que é o ponto mais oriental de todo o continente europeu. Esta característica faz do Cazaquistão uma nação transcontinental. Limita-se a norte e oeste com a Rússia, a leste com a China, a sul com o Quirguistão, o Uzbequistão e Turcomenistão e a oeste com o mar Cáspio.
Cazaquistão	O Cazaquistão (em cazaque Қазақстан, transl. Qazaqstan) é um país fundamentalmente asiático, embora também inclua uma região relativamente pequena que, geograficamente, pertencente à Europa: a área entre o rio Ural e a fronteira russa, que é o ponto mais oriental de todo o continente europeu. Esta característica faz do Cazaquistão uma nação transcontinental. Limita-se a norte e oeste com a Rússia, a leste com a China, a sul com o Quirguistão, o Uzbequistão e Turcomenistão e a oeste com o mar Cáspio.
Ceilão	O Sri Lanka (por vezes aportuguesado para Sri Lanca ; conhecido pela forma portuguesa equivalente Ceilão, adotada pelo país até 1972; e chamado de Taprobana na Antiguidade), é um país insular asiático, localizado ao largo da extremidade sul do subcontinente indiano. Tem costas para a Baía de Bengala a leste, Oceano Índico a sul e a oeste, e o Estreito de Palk a noroeste, que o separa da Índia. A sua capital é Sri Jayawardenapura-Kotte (ou simplesmente Kotte), subúrbio da antiga capital Colombo, desde a inauguração do novo edifício do parlamento, em 1982.
Celta	Um membro de um povo europeu que já ocupavam a Grã-Bretanha e Espanha e Gália antes dos tempos romanos
Censo demográfico	uma contagem periódica da população
Cervidae	distintos dos Bovidae pelo macho ter chifres decíduas sólidos
Chade	O Chade, também chamado de Tchade ou Tchad (em árabe تشاد, transl. Tshād; em francês: Tchad) é um país sem acesso ao mar, localizado no centro-norte da África. Faz fronteira com a Líbia a norte, com o Sudão a leste, com a República Centro-Africana a sul, com Camarões e Nigéria a sudoeste e com o Níger a oeste. Devido a sua distância do mar e seu clima predominantemente desértico, o país é por vezes referido como o "coração morto da África". O Chade é dividido em três regiões geográficas: a zona desértica no norte, um zona de Sahel no centro e uma área de savana mais fértil no sul. O lago Chade, que deu nome à nação, é uma das regiões mais úmidas do continente africano. O monte mais alto do Chade é o Emi Koussi, no Saara, e a maior cidade é a capital, N'Djamena. O país abriga mais de duzentos grupos étnicos e lingüísticos. O francês e o árabe são as línguas oficiais e o islã é a religião mais praticada.
Cheloniidae	qualquer uma das várias tartarugas grandes com membros modificados para nadadeiras; amplamente distribuídas em mares menos frios
Cheshvan	o segundo mês do ano civil; o oitavo mês do ano eclesiástico do calendário judaico (em outubro e novembro)
Chile	Chile, oficialmente República do Chile (em espanhol: ), é um país da América do Sul que ocupa uma longa e estreita faixa costeira encravada entre a cordilheira dos Andes e o oceano Pacífico. Faz fronteira ao norte com o Peru, a nordeste com a Bolívia, a leste com a Argentina e a Passagem de Drake, a ponta mais meridional do país. É um dos dois únicos países da América do Sul que não tem uma fronteira comum com o Brasil, além do Equador. O Pacífico forma toda a fronteira oeste do país, com um litoral que se estende por 6.435 quilômetros. O território chileno se estende até o Oceano Pacífico, que inclui os territórios ultramarinos de Arquipélago Juan Fernández, Ilhas de Sala y Gómez, as Ilhas Desventuradas e a Ilha de Páscoa, localizada na Polinésia. O Chile possui uma reivindicação de 1.250.000 quilômetros quadrados de território na Antártida.
